pair,session,event_type,frequency,mean_signed_move_pips,mean_signed_for_event_ccy_pips,abs_mean_move_pips,direction_concordance_pct,dominant_direction_event_ccy,persistence_24h_avg_pct,trap_rate_pct,fundamental_hit_rate_pct,fundamental_match_count
NZDCAD,NY,cot_extreme_long,1,-19.80006694793701,-19.80006694793701,19.80006694793701,100.0,down,8.333333333333332,100.0,,0
NZDCHF,Asia,cb_rate_decision,6,-9.349981943766275,-9.349981943766275,29.18332815170288,50.0,up,63.88888888888889,33.33333333333333,,0
NZDCHF,NY,cot_release_neutral,7,-14.699995517730713,0.271414007459368,14.699995517730713,57.14285714285714,up,0.0,0.0,,0
NZDCHF,NY,cot_extreme_short,1,-1.8998980522155762,-1.8998980522155762,1.8998980522155762,100.0,down,,0.0,,0
NZDJPY,Asia,cb_rate_decision,7,-18.414197649274552,8.271462576729911,62.814222063337056,71.42857142857143,up,51.07142857142857,28.57142857142857,,0
NZDJPY,NY,cot_release_neutral,9,-22.344377305772568,-1.0556538899739583,38.69976467556424,55.55555555555556,up,34.02777777777778,11.11111111111111,,0
NZDJPY,NY,cot_extreme_long,2,-35.74981689453125,-35.74981689453125,35.74981689453125,100.0,down,4.166666666666666,50.0,,0
NZDJPY,NY,cot_extreme_short,1,-81.00051879882812,81.00051879882812,81.00051879882812,100.0,up,0.0,0.0,,0
NZDUSD,Asia,cb_rate_decision,6,-11.281967163085938,-11.281967163085938,46.04081312815348,50.0,up,43.75,16.666666666666664,,0
NZDUSD,London,us_claims,7,-0.8892161505562919,0.8892161505562919,30.028394290379115,57.14285714285714,up,58.333333333333336,28.57142857142857,28.57142857142857,7
NZDUSD,London,us_ppi,2,32.67467021942139,-32.67467021942139,32.67467021942139,100.0,down,37.5,0.0,50.0,2
NZDUSD,London,us_gdp,2,-22.616088390350342,22.616088390350342,22.616088390350342,100.0,up,93.75,50.0,100.0,2
NZDUSD,London,us_nfp,2,1.6245245933532715,-1.6245245933532715,43.95931959152222,50.0,up,9.090909090909092,50.0,0.0,2
NZDUSD,London,us_unrate,2,1.6245245933532715,-1.6245245933532715,43.95931959152222,50.0,up,9.090909090909092,50.0,50.0,2
NZDUSD,London,us_pce,2,26.008188724517822,-26.008188724517822,26.008188724517822,100.0,down,55.0,50.0,0.0,2
NZDUSD,London,us_core_pce,2,26.008188724517822,-26.008188724517822,26.008188724517822,100.0,down,55.0,50.0,0.0,2
NZDUSD,London,us_cpi,1,41.31317138671875,-41.31317138671875,41.31317138671875,100.0,down,12.5,0.0,0.0,1
NZDUSD,London,us_core_cpi,1,41.31317138671875,-41.31317138671875,41.31317138671875,100.0,down,12.5,0.0,0.0,1
NZDUSD,London,us_refunding,1,-37.46330738067627,37.46330738067627,37.46330738067627,100.0,up,91.66666666666666,0.0,,0
NZDUSD,NY,cb_rate_decision,7,-6.968123572213309,6.968123572213309,24.299110685076034,71.42857142857143,up,55.357142857142854,14.285714285714285,,0
NZDUSD,NY,cb_press_conference,7,-6.968123572213309,6.968123572213309,24.299110685076034,71.42857142857143,up,55.357142857142854,14.285714285714285,,0
NZDUSD,NY,cot_release_neutral,3,4.45703665415446,4.45703665415446,18.507838249206543,66.66666666666666,up,100.0,0.0,,0
NZDUSD,NY,geo_inauguration,1,-12.624263763427734,12.624263763427734,12.624263763427734,100.0,up,20.833333333333336,0.0,,0
NZDUSD,Overlap,us_claims,6,-26.695032914479572,26.695032914479572,26.695032914479572,100.0,up,54.86111111111111,16.666666666666664,83.33333333333334,6
NZDUSD,Overlap,us_retail,1,-56.329965591430664,56.329965591430664,56.329965591430664,100.0,up,20.833333333333336,0.0,100.0,1
NZDUSD,Overlap,us_cpi,1,-14.230012893676758,14.230012893676758,14.230012893676758,100.0,up,58.333333333333336,0.0,100.0,1
NZDUSD,Overlap,us_core_cpi,1,-14.230012893676758,14.230012893676758,14.230012893676758,100.0,up,58.333333333333336,0.0,100.0,1
NZDUSD,Overlap,us_ppi,1,-14.230012893676758,14.230012893676758,14.230012893676758,100.0,up,58.333333333333336,0.0,0.0,1
NZDUSD,Overlap,us_gdp,1,-23.914575576782227,23.914575576782227,23.914575576782227,100.0,up,45.83333333333333,100.0,100.0,1
USDCAD,London,us_claims,4,16.10010862350464,16.10010862350464,33.9999794960022,75.0,up,22.916666666666668,25.0,25.0,4
USDCAD,London,us_cpi,2,-28.349757194519043,-28.349757194519043,28.349757194519043,100.0,down,33.75,50.0,0.0,2
USDCAD,London,us_core_cpi,2,-28.349757194519043,-28.349757194519043,28.349757194519043,100.0,down,33.75,50.0,0.0,2
USDCAD,London,us_ppi,2,-28.349757194519043,-28.349757194519043,28.349757194519043,100.0,down,33.75,50.0,0.0,2
USDCAD,London,us_nfp,2,-34.35015678405762,-34.35015678405762,34.35015678405762,100.0,down,35.55555555555556,50.0,50.0,2
USDCAD,London,us_unrate,2,-34.35015678405762,-34.35015678405762,34.35015678405762,100.0,down,35.55555555555556,50.0,0.0,2
USDCAD,London,us_gdp,1,2.900362014770508,2.900362014770508,2.900362014770508,100.0,up,29.166666666666668,100.0,100.0,1
USDCAD,London,us_pce,1,0.49948692321777344,0.49948692321777344,0.49948692321777344,100.0,up,90.0,100.0,100.0,1
USDCAD,London,us_core_pce,1,0.49948692321777344,0.49948692321777344,0.49948692321777344,100.0,up,90.0,100.0,100.0,1
USDCAD,NY,cot_release_neutral,8,-8.325278759002686,8.325278759002686,25.30038356781006,75.0,up,50.0,0.0,,0
USDCAD,NY,cb_rate_decision,5,1.9998550415039062,1.9998550415039062,29.200077056884766,60.0,up,69.16666666666666,20.0,,0
USDCAD,NY,cb_press_conference,5,1.9998550415039062,1.9998550415039062,29.200077056884766,60.0,up,69.16666666666666,20.0,,0
USDCAD,NY,cot_extreme_short,1,-48.19989204406738,48.19989204406738,48.19989204406738,100.0,up,0.0,0.0,,0
USDCAD,Overlap,us_claims,5,26.699542999267578,26.699542999267578,51.70011520385742,60.0,up,40.83333333333333,0.0,60.0,5
USDCAD,Overlap,us_nfp,2,-54.450035095214844,-54.450035095214844,54.450035095214844,100.0,down,100.0,0.0,50.0,2
USDCAD,Overlap,us_pce,2,-51.450133323669434,-51.450133323669434,51.450133323669434,100.0,down,100.0,0.0,0.0,2
USDCAD,Overlap,us_core_pce,2,-51.450133323669434,-51.450133323669434,51.450133323669434,100.0,down,100.0,0.0,0.0,2
USDCAD,Overlap,us_unrate,1,-71.30026817321777,-71.30026817321777,71.30026817321777,100.0,down,100.0,0.0,0.0,1
USDCAD,Overlap,us_gdp,1,-4.000663757324219,-4.000663757324219,4.000663757324219,100.0,down,54.166666666666664,0.0,0.0,1
USDCAD,Overlap,us_cpi,1,48.89965057373047,48.89965057373047,48.89965057373047,100.0,up,25.0,0.0,100.0,1
USDCAD,Overlap,us_core_cpi,1,48.89965057373047,48.89965057373047,48.89965057373047,100.0,up,25.0,0.0,100.0,1
USDCAD,Overlap,us_ppi,1,48.89965057373047,48.89965057373047,48.89965057373047,100.0,up,25.0,0.0,100.0,1
USDCHF,London,us_claims,4,-2.6749074459075928,-2.6749074459075928,59.37501788139343,50.0,up,37.5,0.0,25.0,4
USDCHF,London,us_refunding,2,34.900009632110596,34.900009632110596,34.900009632110596,100.0,up,81.25,0.0,,0
USDCHF,London,us_nfp,2,-61.50007247924805,-61.50007247924805,61.50007247924805,100.0,down,72.22222222222223,0.0,50.0,2
USDCHF,London,us_unrate,2,-61.50007247924805,-61.50007247924805,61.50007247924805,100.0,down,72.22222222222223,0.0,0.0,2
USDCHF,London,us_cpi,1,-51.400065422058105,-51.400065422058105,51.400065422058105,100.0,down,45.83333333333333,0.0,0.0,1
USDCHF,London,us_core_cpi,1,-51.400065422058105,-51.400065422058105,51.400065422058105,100.0,down,45.83333333333333,0.0,0.0,1
USDCHF,London,us_ppi,1,-51.400065422058105,-51.400065422058105,51.400065422058105,100.0,down,45.83333333333333,0.0,0.0,1
USDCHF,London,us_gdp,1,53.099989891052246,53.099989891052246,53.099989891052246,100.0,up,95.83333333333334,0.0,100.0,1
USDCHF,London,us_pce,1,-72.69978523254395,-72.69978523254395,72.69978523254395,100.0,down,95.83333333333334,0.0,0.0,1
USDCHF,London,us_core_pce,1,-72.69978523254395,-72.69978523254395,72.69978523254395,100.0,down,95.83333333333334,0.0,0.0,1
