t,sym,dir,score,why,win,month
2025-09-02 10:00:00+00:00,GBPUSD,BUY,4.82547510756319,низ диапазона,True,2025-09
2025-09-02 15:00:00+00:00,GBPUSD,BUY,1.4741212694215982,RSI перепроданность,True,2025-09
2025-09-02 20:00:00+00:00,GBPUSD,BUY,1.149353472139632,RSI перепроданность,False,2025-09
2025-09-03 15:00:00+00:00,USDJPY,BUY,3.761820841157631,низ диапазона,True,2025-09
2025-09-03 20:00:00+00:00,USDJPY,BUY,1.9583450903691382,низ диапазона,False,2025-09
2025-09-04 00:00:00+00:00,EURJPY,BUY,2.9725617830597475,низ диапазона,True,2025-09
2025-09-04 05:00:00+00:00,AUDUSD,BUY,4.141512449458857,низ диапазона,False,2025-09
2025-09-04 10:00:00+00:00,AUDUSD,BUY,3.7866667766082376,низ диапазона,False,2025-09
2025-09-04 15:00:00+00:00,NZDUSD,BUY,4.234291960417072,низ диапазона,True,2025-09
2025-09-05 00:00:00+00:00,USDCAD,BUY,1.154273412017216,низ диапазона,False,2025-09
2025-09-05 05:00:00+00:00,USDCAD,BUY,3.5170419140213784,низ диапазона,False,2025-09
2025-09-05 10:00:00+00:00,USDCHF,BUY,3.2091815911962747,низ диапазона,False,2025-09
2025-09-05 15:00:00+00:00,USDJPY,BUY,4.930788052418515,низ диапазона,True,2025-09
2025-09-05 20:00:00+00:00,USDCHF,BUY,1.5495856722801378,RSI перепроданность,True,2025-09
2025-09-08 10:00:00+00:00,USDCAD,BUY,3.2149933166232136,низ диапазона,True,2025-09
2025-09-08 15:00:00+00:00,USDCHF,BUY,3.626481955109959,низ диапазона,False,2025-09
2025-09-08 20:00:00+00:00,USDCHF,BUY,3.3506923326361306,низ диапазона,False,2025-09
2025-09-09 00:00:00+00:00,USDCHF,BUY,2.6876259151458965,низ диапазона,False,2025-09
2025-09-09 05:00:00+00:00,EURJPY,BUY,4.079267004209679,низ диапазона,False,2025-09
2025-09-09 10:00:00+00:00,EURJPY,BUY,5.32073895628629,низ диапазона,True,2025-09
2025-09-09 15:00:00+00:00,EURUSD,BUY,2.914712697550964,низ диапазона,False,2025-09
2025-09-09 20:00:00+00:00,EURUSD,BUY,3.879498049123862,низ диапазона,False,2025-09
2025-09-10 00:00:00+00:00,EURUSD,BUY,4.62971519211288,низ диапазона,True,2025-09
2025-09-10 05:00:00+00:00,USDJPY,SELL,0.3353816199666664,верх диапазона + тренд вниз,False,2025-09
2025-09-10 20:00:00+00:00,EURJPY,BUY,0.7472089581537444,низ диапазона,False,2025-09
2025-09-11 05:00:00+00:00,GBPUSD,BUY,4.125188452827638,низ диапазона,False,2025-09
2025-09-11 10:00:00+00:00,USDJPY,SELL,2.3099780429296084,верх диапазона + тренд вниз,True,2025-09
2025-09-11 15:00:00+00:00,USDCAD,BUY,2.933143879871062,низ диапазона,False,2025-09
2025-09-11 20:00:00+00:00,USDCHF,BUY,3.253320444162911,низ диапазона,True,2025-09
2025-09-12 00:00:00+00:00,USDCHF,BUY,1.858965361431304,RSI перепроданность,True,2025-09
2025-09-12 10:00:00+00:00,NZDUSD,BUY,2.7084689202674865,низ диапазона,False,2025-09
2025-09-12 15:00:00+00:00,AUDUSD,BUY,2.9222982001473694,низ диапазона,True,2025-09
