t,sym,dir,raw,score,fwr,why,win,month
2025-09-04 00:00:00+00:00,EURJPY,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-05 00:00:00+00:00,EURUSD,SELL,1.2000000000000002,1.1400000000000001,0.45,верх диапазона,False,2025-09
2025-09-05 05:00:00+00:00,USDCHF,BUY,2.4,2.4,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-05 10:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-05 15:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-05 20:00:00+00:00,USDCHF,BUY,1.6,1.6,0.5,RSI низкий+импульс вверх,True,2025-09
2025-09-08 10:00:00+00:00,USDCHF,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-08 15:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-08 20:00:00+00:00,USDCHF,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-09 00:00:00+00:00,USDCHF,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,False,2025-09
2025-09-09 05:00:00+00:00,EURJPY,BUY,2.4,2.34,0.475,низ диапазона+RSI низкий,False,2025-09
2025-09-09 10:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-09 15:00:00+00:00,EURUSD,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,False,2025-09
2025-09-10 05:00:00+00:00,EURJPY,SELL,1.2000000000000002,1.1400000000000001,0.45,верх диапазона,True,2025-09
2025-09-12 20:00:00+00:00,EURUSD,BUY,1.1,1.045,0.45,импульс вверх,False,2025-09
2025-09-15 00:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.1400000000000001,0.45,RSI низкий,False,2025-09
2025-09-17 10:00:00+00:00,EURJPY,BUY,2.9,2.8274999999999997,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-17 20:00:00+00:00,EURUSD,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-18 05:00:00+00:00,EURUSD,BUY,2.4,2.28,0.45,низ диапазона+RSI низкий,True,2025-09
2025-09-18 10:00:00+00:00,EURUSD,BUY,1.1,1.045,0.45,импульс вверх,False,2025-09
2025-09-18 15:00:00+00:00,EURJPY,SELL,1.5,1.4625,0.475,верх диапазона+RSI высокий,False,2025-09
2025-09-18 20:00:00+00:00,EURJPY,SELL,1.5,1.4625,0.475,верх диапазона+RSI высокий,True,2025-09
2025-09-19 00:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.1400000000000001,0.45,RSI низкий,False,2025-09
2025-09-19 05:00:00+00:00,EURJPY,BUY,2.4,2.34,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-19 10:00:00+00:00,EURJPY,BUY,1.1,1.1,0.5,импульс вверх,False,2025-09
2025-09-19 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.2000000000000002,0.5,RSI низкий,False,2025-09
2025-09-23 00:00:00+00:00,EURUSD,SELL,1.5,1.4249999999999998,0.45,верх диапазона+RSI высокий,True,2025-09
2025-09-23 15:00:00+00:00,EURUSD,BUY,1.2000000000000002,1.1700000000000002,0.475,RSI низкий,True,2025-09
2025-09-24 10:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-24 15:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-24 20:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-09
2025-09-25 15:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-09
2025-09-25 20:00:00+00:00,EURUSD,BUY,2.1,2.0475,0.475,низ диапазона+RSI низкий,True,2025-09
2025-09-29 05:00:00+00:00,EURUSD,SELL,2.3000000000000003,2.2425,0.475,верх диапазона+RSI высокий,True,2025-09
2025-09-29 15:00:00+00:00,EURJPY,BUY,1.2000000000000002,1.1700000000000002,0.475,RSI низкий,False,2025-09
