t,month,win,conf
2025-11-20 00:00:00+00:00,2025-11,False,0.060058562303045404
2025-11-20 05:00:00+00:00,2025-11,True,0.08696981550692934
2025-11-20 10:00:00+00:00,2025-11,True,0.017292175407528254
2025-11-20 15:00:00+00:00,2025-11,False,0.029987220606045528
2025-11-20 20:00:00+00:00,2025-11,False,0.03950993475660358
2025-11-21 00:00:00+00:00,2025-11,True,0.031053303134886634
2025-11-21 05:00:00+00:00,2025-11,True,0.04074445944326477
2025-11-21 10:00:00+00:00,2025-11,True,0.04925802860856732
2025-11-21 15:00:00+00:00,2025-11,True,0.06185946924326979
2025-11-21 20:00:00+00:00,2025-11,True,0.03181373365286755
2025-11-24 00:00:00+00:00,2025-11,False,0.03668258647947353
2025-11-24 05:00:00+00:00,2025-11,False,0.036349297896496546
2025-11-24 10:00:00+00:00,2025-11,True,0.03570955883504012
2025-11-24 15:00:00+00:00,2025-11,False,0.04445129015579141
2025-11-24 20:00:00+00:00,2025-11,False,0.06499049449195549
2025-11-25 00:00:00+00:00,2025-11,True,0.060591480724647706
2025-11-25 05:00:00+00:00,2025-11,True,0.022397057707664425
2025-11-25 10:00:00+00:00,2025-11,False,0.03314392774740926
2025-11-25 15:00:00+00:00,2025-11,False,0.0795428331053778
2025-11-25 20:00:00+00:00,2025-11,False,0.045575583195989866
2025-11-26 00:00:00+00:00,2025-11,False,0.062129068644120045
2025-11-26 05:00:00+00:00,2025-11,False,0.1404925664244533
2025-11-26 10:00:00+00:00,2025-11,True,0.025708428082508394
2025-11-26 15:00:00+00:00,2025-11,False,0.07727457306701935
2025-11-26 20:00:00+00:00,2025-11,False,0.0535335084497216
2025-11-27 00:00:00+00:00,2025-11,False,0.0563051404055851
2025-11-27 05:00:00+00:00,2025-11,False,0.032545977969327955
2025-11-27 10:00:00+00:00,2025-11,False,0.035364765511489205
2025-11-27 15:00:00+00:00,2025-11,False,0.045175638418629815
2025-11-27 20:00:00+00:00,2025-11,False,0.04588599898813306
